key,summary,assignee,priority,status,last_updated,url
KAFKA-19424,FindCoordinator inconsistent across brokers when __consumer_offsets partition count is increased,sanghyeok An,Major,Open,2026-01-07,https://issues.apache.org/jira/browse/KAFKA-19424
KAFKA-19419,"MaxMessageTimestamp JMX metric per (topic, partition)",Unassigned,Minor,Open,2025-06-23,https://issues.apache.org/jira/browse/KAFKA-19419
KAFKA-19405,Assignor stickiness should keep owned partitions instead of partitions waiting to be revoked by another member ,Sean Quah,Minor,Open,2025-06-12,https://issues.apache.org/jira/browse/KAFKA-19405
KAFKA-19404,Connect's plugin.path documentation does not match behavior,Unassigned,Major,Open,2025-07-15,https://issues.apache.org/jira/browse/KAFKA-19404
KAFKA-19403,We're facing issue in Kafka while reading data from Azure event hubs through Azure Databricks,Unassigned,Major,Open,2025-06-12,https://issues.apache.org/jira/browse/KAFKA-19403
KAFKA-19396,Use batched version of offset fetch request in new GroupCoordinator interface,Kuan Po Tseng,Major,Open,2025-06-23,https://issues.apache.org/jira/browse/KAFKA-19396
KAFKA-19395,The version and license information in the `NOTICE-binary` file for `JUnit` are inconsistent,Nick Guo,Minor,Open,2026-01-29,https://issues.apache.org/jira/browse/KAFKA-19395
KAFKA-19388,Move EdgeCaseRequestTest to clients-integration-tests module,Jhen-Yung Hsu,Minor,Open,2025-06-08,https://issues.apache.org/jira/browse/KAFKA-19388
KAFKA-19385,Unexpectedly stuck consumption on tiered storage enabled topics,Unassigned,Major,Open,2025-06-11,https://issues.apache.org/jira/browse/KAFKA-19385
KAFKA-19382,Upgrade junit from 5.10 to 5.13,Nick Guo,Minor,Open,2025-06-10,https://issues.apache.org/jira/browse/KAFKA-19382
KAFKA-19375,"Some Topic partitions on one Kafka node in the cluster service cannot be automatically cleaned up, leading to disk space occupation",Unassigned,Major,Open,2025-06-05,https://issues.apache.org/jira/browse/KAFKA-19375
KAFKA-19368,DescribeLogDirs API should include the partition size in the remote storage,PoAn Yang,Major,Open,2025-08-04,https://issues.apache.org/jira/browse/KAFKA-19368
KAFKA-19366,Do not resolve address in QuorumConfig and DynamicVoter,José Armando García Sancio,Major,Open,2025-06-03,https://issues.apache.org/jira/browse/KAFKA-19366
KAFKA-19365,Metric for Unclean Recoveries,Unassigned,Major,Open,2025-06-03,https://issues.apache.org/jira/browse/KAFKA-19365
KAFKA-19360,Remove Admin#listClientMetricsResources and related metric,PoAn Yang,Minor,Open,2025-06-02,https://issues.apache.org/jira/browse/KAFKA-19360
KAFKA-19348,Move group metadata hash related functions to a class,PoAn Yang,Major,Open,2025-05-28,https://issues.apache.org/jira/browse/KAFKA-19348
KAFKA-19347,AclControlManager unsafe state update,David Arthur,Major,Open,2025-06-04,https://issues.apache.org/jira/browse/KAFKA-19347
KAFKA-19343,Misconfigured broker listeners causes unrecoverable controller error,Unassigned,Major,Open,2025-05-27,https://issues.apache.org/jira/browse/KAFKA-19343
KAFKA-19339,Move DelayedFetch to server module,Kuan Po Tseng,Minor,Open,2025-11-26,https://issues.apache.org/jira/browse/KAFKA-19339
KAFKA-19333,Inconsistent behavior between `ConsumerMembershipManager` and `StreamsMembershipManager` on `onAllTasksLost` execution,Nick Guo,Minor,Open,2025-05-26,https://issues.apache.org/jira/browse/KAFKA-19333
KAFKA-19329,Dynamic Connect Worker Configuration,Kunal Sevkani,Critical,Open,2025-05-25,https://issues.apache.org/jira/browse/KAFKA-19329
KAFKA-19327,MM2 Source Connector Fails at Scale,Unassigned,Major,Open,2025-05-23,https://issues.apache.org/jira/browse/KAFKA-19327
KAFKA-19323,RemoteTopicCrudTest to use containsKey for topic config checks,Unassigned,Minor,Open,2025-08-19,https://issues.apache.org/jira/browse/KAFKA-19323
KAFKA-19319,Don't reset election timeout for prospective on transition to prospectiveVoted,José Armando García Sancio,Major,Open,2025-05-30,https://issues.apache.org/jira/browse/KAFKA-19319
KAFKA-19318,Zookeeper-Kraft failing migration - RPC got timed out before it could be sent,Unassigned,Major,Open,2025-06-06,https://issues.apache.org/jira/browse/KAFKA-19318
KAFKA-19304,Move KafkaMetricsConfig to server module,Ken Huang,Minor,Open,2025-05-18,https://issues.apache.org/jira/browse/KAFKA-19304
KAFKA-19303,Move VerifiableProperties to server-common module,Ken Huang,Major,Open,2025-05-19,https://issues.apache.org/jira/browse/KAFKA-19303
KAFKA-19298,Move RuntimeLoggerManager to server module,Cheng Yi Chang,Major,Open,2025-05-17,https://issues.apache.org/jira/browse/KAFKA-19298
KAFKA-19293,Consolidate writes within GroupCoordinatorService#onPartitionsDeleted,David Jacot,Major,Open,2025-05-16,https://issues.apache.org/jira/browse/KAFKA-19293
KAFKA-19292,Introduce soft state for StreamsGroup,Bill Bejeck,Major,Open,2026-02-03,https://issues.apache.org/jira/browse/KAFKA-19292
KAFKA-19278,add test to ensure the metric does not use non-java type,Kuan Po Tseng,Major,Open,2025-05-14,https://issues.apache.org/jira/browse/KAFKA-19278
KAFKA-19277,Introduce `ConsumerGroupMessageFormatter` for the console-consumer,David Jacot,Major,Open,2025-05-13,https://issues.apache.org/jira/browse/KAFKA-19277
